Human	Influenza
P51116	Influenza:P03433
P51148	Influenza:P06821
P51148	Influenza:P03468
P51148	Influenza:P03452
P51570	Influenza:P03428
P51570	Influenza:P03431
P51648	Influenza:P03468
P51648	Influenza:P03431
P51648	Influenza:P03428
P51648	Influenza:P06821
P51648	Influenza:P03452
P51659	Influenza:P03508
P51970	Influenza:P06821
P52298	Influenza:P03496
P52298	Influenza:P03466
P52701	Influenza:P03496
P52701	Influenza:P06821
P52701	Influenza:P03468
P53007	Influenza:P03452
P53007	Influenza:P03468
P53007	Influenza:P03428
P53007	Influenza:P06821
P53007	Influenza:P03431
P53007	Influenza:P03485
P53621	Influenza:P03452
P53621	Influenza:P06821
P53621	Influenza:P03468
P53814	Influenza:P03428
P53814	Influenza:P03431
P54886	Influenza:P03428
P54886	Influenza:P03452
P56134	Influenza:P03431
P56134	Influenza:P03452
P56134	Influenza:P03428
P56385	Influenza:P06821
P56537	Influenza:P06821
P56545	Influenza:P06821
P57721	Influenza:P03496
P57740	Influenza:P03431
P57740	Influenza:P0C0U1
P57740	Influenza:P06821
P58557	Influenza:P03468
P60604	Influenza:P03468
P60604	Influenza:P03452
P60660	Influenza:P03496
P60903	Influenza:P06821
P60903	Influenza:P03433
P60903	Influenza:P03452
P61020	Influenza:P03452
P61020	Influenza:P06821
P61026	Influenza:P03468
P61026	Influenza:P03428
P61026	Influenza:P06821
P61026	Influenza:P03452
P61160	Influenza:P03452
P61163	Influenza:P03468
P61163	Influenza:P06821
P61204	Influenza:P03496
P61962	Influenza:P03428
P61962	Influenza:P06821
P61962	Influenza:P03431
P61962	Influenza:P03496
P62081	Influenza:P06821
P62140	Influenza:P03433
P62140	Influenza:P03468
P62140	Influenza:P03508
P62140	Influenza:P03496
P62140	Influenza:P03431
P62244	Influenza:P06821
P62244	Influenza:P03496
P62244	Influenza:P03431
P62244	Influenza:P03433
P62244	Influenza:P03508
P62244	Influenza:P03428
P62750	Influenza:P03496
P62847	Influenza:P03496
P62861	Influenza:P03508
P62861	Influenza:P06821
P62861	Influenza:P03428
P63010	Influenza:P03508
P63092	Influenza:P03496
P63241	Influenza:P06821
P63241	Influenza:P03496
P78318	Influenza:P03431
P78559	Influenza:P03433
P78559	Influenza:P03428
P81877	Influenza:P03433
P82663	Influenza:P03466
P82664	Influenza:P03508
P82664	Influenza:P03496
P82664	Influenza:P03466
P82673	Influenza:P03466
P82673	Influenza:P03431
P82673	Influenza:P03428
P82673	Influenza:P03496
P82675	Influenza:P03508
P82675	Influenza:P03431
P82675	Influenza:P03466
P82675	Influenza:P03428
P82675	Influenza:P03496
P82912	Influenza:P03466
P82912	Influenza:P03433
P82912	Influenza:P03508
P82912	Influenza:P03431
P82914	Influenza:P03508
P82914	Influenza:P03466
P82914	Influenza:P03431
P82914	Influenza:P03428
P82921	Influenza:P03466
P82930	Influenza:P03428
P82930	Influenza:P03508
P82930	Influenza:P03466
P82930	Influenza:P03431
P82930	Influenza:P03433
P82930	Influenza:P03496
P82932	Influenza:P03431
P82932	Influenza:P03433
P82932	Influenza:P03428
P82932	Influenza:P03466
P82932	Influenza:P03496
P84085	Influenza:P03452
P84085	Influenza:P03468
P84095	Influenza:P03452
P84095	Influenza:P03468
P84095	Influenza:P06821
P98175	Influenza:P03428
P98175	Influenza:P06821
P98175	Influenza:P03431
P98175	Influenza:P03433
P98175	Influenza:P03508
Q00535	Influenza:P06821
Q00577	Influenza:P03428
Q00577	Influenza:P03466
Q00587	Influenza:P03452
Q00587	Influenza:P03431
Q00587	Influenza:P03428
Q01081	Influenza:P03466
Q02543	Influenza:P03496
Q02978	Influenza:P03496
Q03169	Influenza:P03496
Q03169	Influenza:P06821
Q03169	Influenza:P03468
Q03169	Influenza:P03452
Q03188	Influenza:P03496
Q03519	Influenza:P03468
Q04721	Influenza:P03431
Q05048	Influenza:P03508
Q05048	Influenza:P03428
Q06210	Influenza:P03468
Q06210	Influenza:P06821
Q06547	Influenza:P03431
Q06587	Influenza:P03428
Q07157	Influenza:P03433
Q07157	Influenza:P03508
Q07817	Influenza:P03496
Q07973	Influenza:P03468
Q08AM6	Influenza:P03508
Q10570	Influenza:P03428
Q10570	Influenza:P03496
Q10570	Influenza:P03508
Q12769	Influenza:P06821
Q12769	Influenza:P0C0U1
Q12789	Influenza:P03431
Q12797	Influenza:P03452
Q12797	Influenza:P03431
Q12797	Influenza:P03428
Q12797	Influenza:P03496
Q12800	Influenza:P03428
Q12800	Influenza:P03431
Q12800	Influenza:P03485
Q12800	Influenza:P06821
Q12800	Influenza:P03508
Q12816	Influenza:P03431
Q12840	Influenza:P03431
Q12926	Influenza:P03466
Q12931	Influenza:P06821
Q12955	Influenza:P03431
Q13011	Influenza:P03428
Q13015	Influenza:P03468
Q13015	Influenza:P03496
Q13015	Influenza:P03452
Q13033	Influenza:P03485
Q13045	Influenza:P03496
Q13045	Influenza:P03452
Q13084	Influenza:P03466
Q13105	Influenza:P03496
Q13105	Influenza:P03508
Q13126	Influenza:P03466
Q13126	Influenza:P03496
Q13144	Influenza:P06821
Q13188	Influenza:P03428
Q13190	Influenza:P03496
Q13257	Influenza:P03431
Q13310	Influenza:P03496
Q13362	Influenza:P03433
Q13405	Influenza:P03466
Q13405	Influenza:P03496
Q13451	Influenza:P03496
Q13561	Influenza:P03508
Q13595	Influenza:P03428
Q13595	Influenza:P03466
Q13595	Influenza:P03433
Q13595	Influenza:P03508
Q14004	Influenza:P06821
Q14008	Influenza:P06821
Q14137	Influenza:P03508
Q14145	Influenza:P03431
Q14156	Influenza:P03468
Q14160	Influenza:P03468
Q14160	Influenza:P03496
Q14160	Influenza:P06821
Q14160	Influenza:P03452
Q14197	Influenza:P03466
Q14244	Influenza:P06821
Q14244	Influenza:P03433
Q14258	Influenza:P03496
Q14677	Influenza:P03431
Q14677	Influenza:P03428
Q14764	Influenza:P03496
Q14764	Influenza:P03431
Q14764	Influenza:P03428
Q14764	Influenza:P03452
Q14764	Influenza:P06821
Q14764	Influenza:P03433
Q15008	Influenza:P03452
Q15008	Influenza:P03428
Q15008	Influenza:P06821
Q15008	Influenza:P03431
Q15029	Influenza:P06821
Q15050	Influenza:P03496
Q15070	Influenza:P03468
Q15075	Influenza:P03508
Q15120	Influenza:P03428
Q15149	Influenza:P06821
Q15149	Influenza:P03496
Q15386	Influenza:P03431
Q15434	Influenza:P03496
Q15517	Influenza:P06821
Q15633	Influenza:P03496
Q15907	Influenza:P03508
Q15942	Influenza:P03496
Q16540	Influenza:P03428
Q16540	Influenza:P03466
Q16540	Influenza:P03431
Q16555	Influenza:P03431
Q16555	Influenza:P03508
Q16555	Influenza:P06821
Q16698	Influenza:P03468
Q16795	Influenza:P03468
Q1KMD3	Influenza:P03496
Q1KMD3	Influenza:P03431
Q1KMD3	Influenza:P03466
Q1KMD3	Influenza:P03433
Q1KMD3	Influenza:P03508
Q27J81	Influenza:P03452
Q27J81	Influenza:P03508
Q27J81	Influenza:P03496
Q2KHR3	Influenza:P03428
Q2TB90	Influenza:P03431
Q2TB90	Influenza:P03433
Q2TB90	Influenza:P03508
Q2TB90	Influenza:P06821
Q2TB90	Influenza:P03452
Q2TB90	Influenza:P03496
Q2TB90	Influenza:P03428
Q32MZ4	Influenza:P03433
Q3BBV2	Influenza:P03496
Q3KQU3	Influenza:P03431
Q3KQU3	Influenza:P03428
Q49A26	Influenza:P03508
Q49A26	Influenza:P03496
Q49AN9	Influenza:P03428
Q49AN9	Influenza:P03433
Q49AN9	Influenza:P03431
Q4J6C6	Influenza:P03508
Q53EU6	Influenza:P03468
Q53H12	Influenza:P03428
Q53H12	Influenza:P03431
Q53H12	Influenza:P03433
Q56VL3	Influenza:P03468
Q5BJD5	Influenza:P03468
Q5C9Z4	Influenza:P06821
Q5C9Z4	Influenza:P03428
Q5HYK3	Influenza:P06821
Q5JNZ5	Influenza:P03466
Q5JR04	Influenza:P03433
Q5JR04	Influenza:P03431
Q5JR04	Influenza:P03428
Q5JTW2	Influenza:P03428
Q5JUV6	Influenza:P03496
Q5JVF3	Influenza:P03496
Q5JW30	Influenza:P03428
Q5QPL9	Influenza:P03433
Q5SRD1	Influenza:P03428
Q5SRD1	Influenza:P03431
Q5SRD1	Influenza:P06821
Q5SRE5	Influenza:P06821
Q5SRE5	Influenza:P03496
Q5SRE5	Influenza:P03468
Q5SWX8	Influenza:P06821
Q5SWX8	Influenza:P03428
Q5SXM2	Influenza:P03508
Q5SXM2	Influenza:P03496
Q5SZE2	Influenza:P03468
Q5T160	Influenza:P03468
Q5T160	Influenza:P06821
Q5T1M5	Influenza:P03508
Q5T653	Influenza:P03466
Q5T760	Influenza:P03431
Q5T7A2	Influenza:P06821
Q5TA45	Influenza:P03496
Q5TB53	Influenza:P06821
Q5TC82	Influenza:P03428
Q5TEC6	Influenza:P03508
Q5THK1	Influenza:P03428
Q5VTE6	Influenza:P03431
Q5VV42	Influenza:P03468
Q5VW36	Influenza:P03468
Q5VYK3	Influenza:P06821
Q5VYK3	Influenza:P03468
Q5VYK3	Influenza:P03452
Q643R3	Influenza:P03452
Q68CZ6	Influenza:P03508
Q68CZ6	Influenza:P03428
Q6DKI1	Influenza:P03428
Q6DN90	Influenza:P03431
Q6DN90	Influenza:P03428
Q6IB77	Influenza:P03433
Q6IBW4	Influenza:P03433
Q6IN84	Influenza:P03431
Q6IS14	Influenza:P03496
Q6NUK1	Influenza:P03468
Q6NUM9	Influenza:P03468
Q6NUQ1	Influenza:P06821
Q6NXE6	Influenza:P06821
Q6NZI2	Influenza:P03496
Q6NZI2	Influenza:P03428
Q6NZY4	Influenza:P03508
Q6NZY4	Influenza:P03431
Q6NZY4	Influenza:P03496
Q6NZY4	Influenza:P03428
Q6P1J9	Influenza:P03428
Q6P1J9	Influenza:P03431
Q6P1L8	Influenza:P03466
Q6P1W5	Influenza:P03508
Q6P1W5	Influenza:P03428
Q6P3X3	Influenza:P03431
Q6P3X3	Influenza:P0C0U1
Q6P3X3	Influenza:P06821
Q6P3X3	Influenza:P03468
Q6P4A7	Influenza:P03428
Q6PI48	Influenza:P03428
Q6PI77	Influenza:P03508
Q6PI77	Influenza:P03496
Q6PJG6	Influenza:P03468
Q6R327	Influenza:P03431
Q6R327	Influenza:P03428
Q6RW13	Influenza:P06821
Q6UN15	Influenza:P03431
Q6ZRP7	Influenza:P06821
Q6ZRP7	Influenza:P03452
Q6ZRP7	Influenza:P03468
Q6ZRV2	Influenza:P03428
Q70CQ2	Influenza:P06821
Q7KZN9	Influenza:P03468
Q7L1Q6	Influenza:P06821
Q7L8L6	Influenza:P03468
Q7LBR1	Influenza:P03433
Q7Z2W9	Influenza:P03466
Q7Z392	Influenza:P06821
Q7Z3B4	Influenza:P03433
Q7Z4H7	Influenza:P03428
Q7Z4H7	Influenza:P03508
Q7Z4H7	Influenza:P03431
Q7Z4Q2	Influenza:P06821
Q7Z7F7	Influenza:P03466
Q7Z7H8	Influenza:P03428
Q7Z7H8	Influenza:P03468
Q7Z7H8	Influenza:P03508
Q7Z7H8	Influenza:P03431
Q86SJ2	Influenza:P03468
Q86SJ2	Influenza:P03452
Q86SZ2	Influenza:P06821
Q86U42	Influenza:P03496
Q86UN3	Influenza:P03468
Q86UT6	Influenza:P06821
Q86VM9	Influenza:P03428
Q86VS8	Influenza:P06821
Q86Y56	Influenza:P03468
Q86YV9	Influenza:P06821
Q8IUR0	Influenza:P06821
Q8IV08	Influenza:P06821
Q8IWA4	Influenza:P03468
Q8IWB1	Influenza:P06821
Q8IX01	Influenza:P03431
Q8IX01	Influenza:P03508
Q8IX01	Influenza:P03496
Q8IX01	Influenza:P03428
Q8IXH7	Influenza:P06821
Q8IXI1	Influenza:P03452
Q8IXI2	Influenza:P06821
Q8IXM3	Influenza:P03433
Q8IXM3	Influenza:P03431
Q8IXM3	Influenza:P03496
Q8IXM3	Influenza:P03508
Q8IXM3	Influenza:P03466
Q8IXM3	Influenza:P03428
Q8IY17	Influenza:P06821
Q8IY17	Influenza:P03452
Q8IY17	Influenza:P03496
Q8IY17	Influenza:P03428
Q8IYU8	Influenza:P06821
Q8IZT6	Influenza:P03428
Q8N0Y7	Influenza:P03496
Q8N1F8	Influenza:P03468
Q8N201	Influenza:P03428
Q8N2K0	Influenza:P03452
Q8N448	Influenza:P03485
Q8N448	Influenza:P03496
Q8N448	Influenza:P03433
Q8N448	Influenza:P03508
Q8N448	Influenza:P03452
Q8N448	Influenza:P06821
Q8N448	Influenza:P03431
Q8N448	Influenza:P03428
Q8N4C6	Influenza:P03508
Q8N4X5	Influenza:P03433
Q8N5I3	Influenza:P03508
Q8N5I3	Influenza:P03428
Q8N5N7	Influenza:P03466
Q8N5N7	Influenza:P03496
Q8N5R6	Influenza:P03508
Q8N5R6	Influenza:P03428
Q8N5Z5	Influenza:P06821
Q8N661	Influenza:P03433
Q8N6M3	Influenza:P03452
Q8N6M3	Influenza:P03468
Q8N6Y0	Influenza:P03428
Q8N6Y0	Influenza:P03508
Q8N6Y0	Influenza:P03431
Q8N8R3	Influenza:P03468
Q8N983	Influenza:P03466
Q8N9N5	Influenza:P03428
Q8N9N5	Influenza:P03508
Q8N9N5	Influenza:P03431
Q8N9N5	Influenza:P03496
Q8NBP0	Influenza:P06821
Q8NBQ5	Influenza:P03452
Q8NBQ5	Influenza:P03468
Q8NBZ7	Influenza:P03433
Q8NC69	Influenza:P03496
Q8NCN2	Influenza:P03428
Q8ND90	Influenza:P03508
Q8ND90	Influenza:P03428
Q8NE86	Influenza:P06821
Q8NEJ9	Influenza:P03433
Q8NEU8	Influenza:P03508
Q8NEY8	Influenza:P03428
Q8NF05	Influenza:P03431
Q8NF17	Influenza:P03431
Q8NF37	Influenza:P03496
Q8NF37	Influenza:P03508
Q8NF37	Influenza:P06821
Q8NF37	Influenza:P03428
Q8NF37	Influenza:P03452
Q8NF37	Influenza:P03468
Q8NF50	Influenza:P03428
Q8NF50	Influenza:P03508
Q8NG31	Influenza:P03428
Q8NHH9	Influenza:P03468
Q8NHQ1	Influenza:P03466
Q8NHQ1	Influenza:P03431
Q8NHQ1	Influenza:P03428
Q8NHQ1	Influenza:P03508
Q8NHW5	Influenza:P03496
Q8NI27	Influenza:P06821
Q8TAE8	Influenza:P03466
Q8TBP6	Influenza:P03468
Q8TBP6	Influenza:P03452
Q8TD10	Influenza:P03428
Q8TD10	Influenza:P03466
Q8TD10	Influenza:P03508
Q8TD31	Influenza:P03508
Q8TED0	Influenza:P03428
Q8TEM1	Influenza:P03468
Q8WTW3	Influenza:P06821
Q8WUH6	Influenza:P03428
Q8WUK0	Influenza:P03433
Q8WUM0	Influenza:P03431
Q8WUM0	Influenza:P0C0U1
Q8WUM0	Influenza:P06821
Q8WUY1	Influenza:P03468
Q8WUY1	Influenza:P03452
Q8WUY1	Influenza:P06821
Q8WV44	Influenza:P03466
Q8WVR3	Influenza:P06821
Q8WVX9	Influenza:P03431
Q8WVX9	Influenza:P03452
Q8WVX9	Influenza:P03468
Q8WVX9	Influenza:P06821
Q8WVX9	Influenza:P0C0U1
Q8WWC4	Influenza:P03452
Q8WWF6	Influenza:P03431
Q8WWF6	Influenza:P03428
Q8WXA9	Influenza:P03466
Q8WXE1	Influenza:P06821
Q8WY36	Influenza:P03428
Q8WYJ6	Influenza:P03496
Q92526	Influenza:P0C0U1
Q92526	Influenza:P03428
Q92538	Influenza:P03468
Q92542	Influenza:P03431
Q92542	Influenza:P03485
Q92569	Influenza:P03496
Q92604	Influenza:P03452
Q92615	Influenza:P03428
Q92615	Influenza:P03496
Q92620	Influenza:P03508
Q92665	Influenza:P03428
Q92665	Influenza:P03466
Q92665	Influenza:P03496
Q92665	Influenza:P03508
Q92665	Influenza:P03431
Q92665	Influenza:P03433
Q92879	Influenza:P03428
Q92879	Influenza:P03508
Q92887	Influenza:P03468
Q92900	Influenza:P03496
Q92900	Influenza:P03466
Q92966	Influenza:P03496
Q92997	Influenza:P06821
Q92997	Influenza:P03508
Q92997	Influenza:P03431
Q92997	Influenza:P03428
Q92997	Influenza:P03485
Q93062	Influenza:P03508
Q93062	Influenza:P03428
Q93062	Influenza:P03431
Q93062	Influenza:P06821
Q969V3	Influenza:P03468
Q96A35	Influenza:P03466
Q96AD5	Influenza:P06821
Q96AG4	Influenza:P03468
Q96AT1	Influenza:P03496
Q96B26	Influenza:P03485
Q96BN8	Influenza:P06821
Q96CN9	Influenza:P03508
Q96CT7	Influenza:P03466
Q96D05	Influenza:P03433
Q96D09	Influenza:P03428
Q96D09	Influenza:P03431
Q96D53	Influenza:P03428
Q96DH6	Influenza:P03431
Q96DV4	Influenza:P03428
Q96DV4	Influenza:P03466
Q96DV4	Influenza:P03496
Q96DZ9	Influenza:P03508
Q96DZ9	Influenza:P03428
Q96E29	Influenza:P03466
Q96EC8	Influenza:P03433
Q96EL3	Influenza:P03508
Q96EL3	Influenza:P03428
Q96ER3	Influenza:P06821
Q96EY1	Influenza:P03428
Q96EY1	Influenza:P03452
Q96EY1	Influenza:P06821
Q96EY7	Influenza:P03508
Q96EY7	Influenza:P03431
Q96EY7	Influenza:P03496
Q96EY7	Influenza:P03428
Q96EY7	Influenza:P03433
Q96EY7	Influenza:P03466
Q96FZ7	Influenza:P03433
Q96GC5	Influenza:P03466
Q96IK5	Influenza:P03466
Q96IP2	Influenza:P03496
Q96JJ7	Influenza:P03468
Q96JJ7	Influenza:P06821
Q96JJ7	Influenza:P03452
Q96KA5	Influenza:P03468
Q96KN7	Influenza:P03485
Q96KP1	Influenza:P03468
Q96L14	Influenza:P03428
Q96L21	Influenza:P03466
Q96MC5	Influenza:P03466
Q96MW5	Influenza:P03508
Q96PU8	Influenza:P03496
Q96Q05	Influenza:P06821
Q96QD9	Influenza:P03428
Q96RG2	Influenza:P03428
Q96RP9	Influenza:P03508
Q96RT1	Influenza:P03496
Q96RT1	Influenza:P03508
Q96SI9	Influenza:P03508
Q96SI9	Influenza:P03496
Q96SI9	Influenza:P03431
Q96SI9	Influenza:P03433
Q96T21	Influenza:P03433
Q96T76	Influenza:P03468
Q96T76	Influenza:P03452
Q96TA2	Influenza:P03428
Q96TA2	Influenza:P06821
Q96TA2	Influenza:P03431
Q99081	Influenza:P03508
Q99081	Influenza:P03428
Q99081	Influenza:P03431
Q99417	Influenza:P03433
Q99417	Influenza:P03428
Q99541	Influenza:P06821
Q99575	Influenza:P03428
Q99575	Influenza:P03466
Q99832	Influenza:P03452
Q99956	Influenza:P06821
Q99959	Influenza:P03431
Q9BPZ7	Influenza:P03428
Q9BQ70	Influenza:P06821
Q9BQ70	Influenza:P03428
Q9BQ70	Influenza:P03431
Q9BQB6	Influenza:P03468
Q9BQE5	Influenza:P03496
Q9BRJ2	Influenza:P03466
Q9BRQ8	Influenza:P03468
Q9BRT8	Influenza:P0C0U1
Q9BRT8	Influenza:P03428
Q9BSD7	Influenza:P03508
Q9BSD7	Influenza:P03431
Q9BSD7	Influenza:P03452
Q9BSD7	Influenza:P03433
Q9BSF4	Influenza:P03468
Q9BSJ8	Influenza:P03468
Q9BSJ8	Influenza:P03452
Q9BT22	Influenza:P06821
Q9BT25	Influenza:P03428
Q9BU76	Influenza:P03466
Q9BV38	Influenza:P03428
Q9BVV7	Influenza:P03468
Q9BVV7	Influenza:P03431
Q9BW72	Influenza:P03468
Q9BX40	Influenza:P03428
Q9BXR0	Influenza:P03433
Q9BXW9	Influenza:P03431
Q9BXW9	Influenza:P0C0U1
Q9BXW9	Influenza:P06821
Q9BY89	Influenza:P03428
Q9BYD1	Influenza:P03428
Q9BYD1	Influenza:P03466
Q9BYD2	Influenza:P03466
Q9BYD3	Influenza:P03466
Q9BYD6	Influenza:P03466
Q9BYD6	Influenza:P03431
Q9BYG3	Influenza:P03466
Q9BYN8	Influenza:P03508
Q9BYN8	Influenza:P03431
Q9BYN8	Influenza:P03496
Q9BYN8	Influenza:P03433
Q9BYN8	Influenza:P03466
Q9BZE1	Influenza:P03466
Q9BZH6	Influenza:P06821
Q9C005	Influenza:P03496
Q9C005	Influenza:P06821
Q9C005	Influenza:P03452
Q9C005	Influenza:P03428
Q9C005	Influenza:P03508
Q9C005	Influenza:P03433
Q9C005	Influenza:P03431
Q9C005	Influenza:P03468
Q9C037	Influenza:P03468
Q9C099	Influenza:P03496
Q9C0C2	Influenza:P06821
Q9GZV4	Influenza:P03496
Q9H078	Influenza:P03431
Q9H190	Influenza:P03485
Q9H1D9	Influenza:P03496
Q9H1D9	Influenza:P03508
Q9H1Y0	Influenza:P03508
Q9H257	Influenza:P03508
Q9H2G9	Influenza:P03428
Q9H2G9	Influenza:P03508
Q9H2W6	Influenza:P03466
Q9H3G5	Influenza:P03485
Q9H3N1	Influenza:P06821
Q9H3Q1	Influenza:P03433
Q9H3R5	Influenza:P03508
Q9H4B6	Influenza:P03428
Q9H4I3	Influenza:P06821
Q9H582	Influenza:P03428
Q9H5Q4	Influenza:P03452
Q9H5Q4	Influenza:P06821
Q9H5Q4	Influenza:P03468
Q9H6X2	Influenza:P03468
Q9H7E9	Influenza:P03433
Q9H7E9	Influenza:P03428
Q9H814	Influenza:P03466
Q9H845	Influenza:P03431
Q9H845	Influenza:P03468
Q9H892	Influenza:P03431
Q9H898	Influenza:P03496
Q9H898	Influenza:P03431
Q9H898	Influenza:P03485
Q9H900	Influenza:P06821
Q9H936	Influenza:P03496
Q9H936	Influenza:P03428
Q9H936	Influenza:P03452
Q9H936	Influenza:P03431
Q9H9B1	Influenza:P03428
Q9H9B4	Influenza:P03452
Q9H9J2	Influenza:P03466
Q9H9J2	Influenza:P03508
Q9H9J2	Influenza:P03496
Q9HBH0	Influenza:P06821
Q9HBH0	Influenza:P03468
Q9HBH0	Influenza:P03452
Q9HBH0	Influenza:P03496
Q9HC21	Influenza:P03428
Q9HCD5	Influenza:P03508
Q9HCD5	Influenza:P03431
Q9HD26	Influenza:P03466
Q9HD33	Influenza:P03428
Q9HD33	Influenza:P03431
Q9HD33	Influenza:P03508
Q9HD33	Influenza:P03496
Q9HD33	Influenza:P03466
Q9HD45	Influenza:P03468
Q9NNW5	Influenza:P03496
Q9NNW5	Influenza:P03468
Q9NP92	Influenza:P03466
Q9NPE3	Influenza:P03466
Q9NPE3	Influenza:P03431
Q9NPL8	Influenza:P03468
Q9NQ39	Influenza:P03466
Q9NQ92	Influenza:P03433
Q9NQ92	Influenza:P06821
Q9NQ92	Influenza:P03496
Q9NQG5	Influenza:P03431
Q9NR50	Influenza:P06821
Q9NR56	Influenza:P03428
Q9NRX2	Influenza:P03466
Q9NRY5	Influenza:P06821
Q9NS73	Influenza:P03508
Q9NU22	Influenza:P06821
Q9NU22	Influenza:P03468
Q9NUD5	Influenza:P03466
Q9NUQ2	Influenza:P03468
Q9NVI1	Influenza:P03428
Q9NVI1	Influenza:P03452
Q9NVI1	Influenza:P0C0U1
Q9NVI1	Influenza:P03431
Q9NVI1	Influenza:P06821
Q9NVJ2	Influenza:P03468
Q9NVJ2	Influenza:P06821
Q9NW13	Influenza:P03466
Q9NWB1	Influenza:P03431
Q9NWB1	Influenza:P03428
Q9NWU5	Influenza:P03466
Q9NX20	Influenza:P03466
Q9NX24	Influenza:P03466
Q9NX63	Influenza:P06821
Q9NX74	Influenza:P03496
Q9NXH8	Influenza:P03468
Q9NXH8	Influenza:P03496
Q9NXS2	Influenza:P03485
Q9NXS2	Influenza:P06821
Q9NXS2	Influenza:P03452
Q9NXS2	Influenza:P03428
Q9NXS2	Influenza:P03431
Q9NXV2	Influenza:P03496
Q9NXV2	Influenza:P06821
Q9NXW2	Influenza:P03431
Q9NY12	Influenza:P03431
Q9NY93	Influenza:P03496
Q9NYF8	Influenza:P03496
Q9NYI0	Influenza:P03428
Q9NYK5	Influenza:P03466
Q9NYL9	Influenza:P03452
Q9NZ01	Influenza:P03468
Q9NZ01	Influenza:P06821
Q9NZ01	Influenza:P03428
Q9NZ01	Influenza:P03452
Q9NZ01	Influenza:P03431
Q9NZ08	Influenza:P03468
Q9NZ45	Influenza:P03468
Q9NZB2	Influenza:P03428
Q9NZB2	Influenza:P03466
Q9NZB2	Influenza:P03496
Q9NZF1	Influenza:P03431
Q9NZL4	Influenza:P03485
Q9NZL4	Influenza:P06821
Q9NZM1	Influenza:P06821
Q9P015	Influenza:P03508
Q9P015	Influenza:P03496
Q9P015	Influenza:P03428
Q9P015	Influenza:P03466
Q9P032	Influenza:P03452
Q9P032	Influenza:P06821
Q9P0M9	Influenza:P03466
Q9P2E3	Influenza:P03496
Q9P2E9	Influenza:P03468
Q9P2E9	Influenza:P06821
Q9P2F8	Influenza:P03431
Q9P2F8	Influenza:P03428
Q9P2N5	Influenza:P06821
Q9P2R3	Influenza:P03433
Q9P2Y5	Influenza:P03508
Q9UBB6	Influenza:P06821
Q9UBF2	Influenza:P06821
Q9UBF2	Influenza:P03468
Q9UBF2	Influenza:P03452
Q9UBM7	Influenza:P06821
Q9UBM7	Influenza:P03485
Q9UBW7	Influenza:P03508
Q9UBW7	Influenza:P03496
Q9UBX3	Influenza:P03468
Q9UDY4	Influenza:P03431
Q9UG63	Influenza:P03452
Q9UG63	Influenza:P03468
Q9UG63	Influenza:P06821
Q9UG63	Influenza:P03496
Q9UHQ4	Influenza:P03433
Q9UI10	Influenza:P06821
Q9UI12	Influenza:P06821
Q9UI12	Influenza:P03468
Q9UIA0	Influenza:P03508
Q9UIA9	Influenza:P03468
Q9UJ41	Influenza:P03508
Q9UJ41	Influenza:P03428
Q9UJC3	Influenza:P03428
Q9UJC3	Influenza:P06821
Q9UJC3	Influenza:P03508
Q9UJS0	Influenza:P03452
Q9UJV9	Influenza:P03433
Q9UJV9	Influenza:P03496
Q9UJV9	Influenza:P03428
Q9UK22	Influenza:P03452
Q9UK61	Influenza:P03428
Q9UKD2	Influenza:P03433
Q9UKM7	Influenza:P06821
Q9UKM9	Influenza:P03496
Q9UKM9	Influenza:P03428
Q9UKM9	Influenza:P03466
Q9UKT9	Influenza:P03431
Q9UL15	Influenza:P06821
Q9UL15	Influenza:P03431
Q9UL15	Influenza:P03496
Q9UL15	Influenza:P03428
Q9UL40	Influenza:P03431
Q9UL40	Influenza:P03496
Q9ULD2	Influenza:P03496
Q9UM00	Influenza:P06821
Q9UNK9	Influenza:P03428
Q9UNM6	Influenza:P03431
Q9UNM6	Influenza:P03428
Q9UNM6	Influenza:P03468
Q9UNM6	Influenza:P06821
Q9UNM6	Influenza:P03452
Q9UPN3	Influenza:P03433
Q9UPT5	Influenza:P03468
Q9UPT8	Influenza:P03431
Q9UPT8	Influenza:P03428
Q9UPY5	Influenza:P03468
Q9UQ80	Influenza:P03431
Q9Y244	Influenza:P03508
Q9Y285	Influenza:P03452
Q9Y285	Influenza:P03431
Q9Y291	Influenza:P03496
Q9Y296	Influenza:P06821
Q9Y2G8	Influenza:P03431
Q9Y2I1	Influenza:P03496
Q9Y2R5	Influenza:P03466
Q9Y2R9	Influenza:P03428
Q9Y2R9	Influenza:P03508
Q9Y2R9	Influenza:P03466
Q9Y2R9	Influenza:P03496
Q9Y2R9	Influenza:P03433
Q9Y2V7	Influenza:P03508
Q9Y2X9	Influenza:P03428
Q9Y2X9	Influenza:P03431
Q9Y305	Influenza:P03433
Q9Y305	Influenza:P03428
Q9Y305	Influenza:P03452
Q9Y312	Influenza:P03428
Q9Y399	Influenza:P03428
Q9Y399	Influenza:P03431
Q9Y399	Influenza:P03496
Q9Y399	Influenza:P03466
Q9Y3D3	Influenza:P03466
Q9Y3D5	Influenza:P03508
Q9Y3D5	Influenza:P03496
Q9Y3D9	Influenza:P03466
Q9Y3E5	Influenza:P06821
Q9Y3L5	Influenza:P03468
Q9Y3L5	Influenza:P03452
Q9Y3T9	Influenza:P03468
Q9Y446	Influenza:P03496
Q9Y446	Influenza:P03428
Q9Y446	Influenza:P03433
